,user_left,user_right,set_similarity,rating_similarity,total_similarity
0,Adivo,aposteriori82,0.01539408866995074,0.07111354941505221,0.0010947282853302372
0,Adivo,apple_jane,0.011737089201877934,0.08786077682517712,0.0010312297749433934
0,Adivo,aventurera,0.02784940691077875,0.038548848598411345,0.0010735625705591606
0,Adivo,eva_lunna,0.052476415094339625,0.015554047541415539,0.0008162206551804145
0,Adivo,firsanova,0.006598984771573604,0.03380502219896153,0.00022307882669365478
0,Adivo,imminence,0.03949160236041761,0.05180696236525739,0.0020459399572298653
0,Adivo,losselote,0.01616915422885572,0.015566844149655479,0.00025170270391233984
0,Adivo,olga_kernogo,0.0292157867760123,0.018732413206594134,0.0005472821900440111
0,Adivo,orbistetrus,0.046153846153846156,0.024554546897529783,0.00113328677988599
0,Adivo,sihy,0.005705394190871369,0.01712106093414134,9.768240159520474e-05
0,Adivo,sirenevaya,0.012506012506012507,0.022073208924393573,0.0002760478268562929
0,Adivo,urfe,0.0073439412484700125,0.03287676584264787,0.00024144503678811166
0,AlehandroHlopes,AnnAquarium,0.0071174377224199285,0.009007569589676745,6.411081558488785e-05
0,AlehandroHlopes,BuitronHubristic,0.0064516129032258064,0.0022148421433909604,1.4289304150909423e-05
0,AlehandroHlopes,GermanGorbunov,0.02973977695167286,0.003912172936579639,0.00011634715053024947
0,AlehandroHlopes,IgorTito,0.014598540145985401,0.008611082591919006,0.00012570923491852563
0,AlehandroHlopes,Jaakaru,0.005714285714285714,0.0061162653263812095,3.49500875793212e-05
0,AlehandroHlopes,KetrinJons,0.006756756756756757,0.001346575261567562,9.098481497078121e-06
0,AlehandroHlopes,Oksi_15,0.006006006006006006,0.029857499854668124,0.0001793243234514602
0,AlehandroHlopes,bobcat_nastya,0.009375,0.029857499854668124,0.00027991406113751365
0,AlonkaLuchina,Adivo,0.003069367710251688,0.004901990304595483,1.5046010756892211e-05
0,AlonkaLuchina,Belera,0.01739850869925435,0.080361943082357,0.0013981779658073712
0,AlonkaLuchina,Bookngriller,0.006562756357670222,0.05002236771187818,0.00032828461172684613
0,AlonkaLuchina,Chernika-Golubika,0.019330855018587362,0.022738359047905443,0.0004395519221156443
0,AlonkaLuchina,Dudler_Dud,0.01082753286929621,0.03357932216157944,0.00036358121443318803
0,AlonkaLuchina,ElenaSmirnova306,0.007601935038009675,0.09415424092916569,0.0007157544230966293
0,AlonkaLuchina,ElenaStrozzi,0.016405135520684736,0.014971789326011953,0.0002456142328803673
0,AlonkaLuchina,Fiolent,0.012620638455827766,0.09544980429435301,0.001204637470678546
0,AlonkaLuchina,Firespark,0.0020847810979847115,0.2086126132801881,0.00043491163296773054
0,AlonkaLuchina,Gold_Sister,0.011764705882352941,0.014499892762431021,0.00017058697367565908
0,AlonkaLuchina,Insomia,0.006344171292624901,0.03780662525424805,0.00023985170660902806
0,AlonkaLuchina,IrinaBMK,0.01122754491017964,0.08714448420788368,0.0009784186101184545
0,AlonkaLuchina,J_rainy,0.013344453711426188,0.08205836907145336,0.0010950241077091357
0,AlonkaLuchina,JuliaMal,0.00784313725490196,0.03291747054114835,0.00025817623953841844
0,AlonkaLuchina,JuliaSarmina,0.009811937857726901,0.061146931623383693,0.0005999698932793167
0,AlonkaLuchina,Kareva,0.007457121551081283,0.008691932072243946,6.481679397646492e-05
0,AlonkaLuchina,Karinne_Romantique,0.003003003003003003,0.03352252380839793,0.00010066823966485864
0,AlonkaLuchina,KatyaKonyahina,0.016366612111292964,0.0009847368218079966,1.6116805594238897e-05
0,AlonkaLuchina,Kleo_M,0.016329704510108865,0.01613008990009257,0.0002633996017900031
0,AlonkaLuchina,Koledusya,0.031705227077977724,0.02353269293928495,0.0007461093733963524
0,AlonkaLuchina,Kot_33,0.017857142857142856,0.05562363658319436,0.0009932792246998992
0,AlonkaLuchina,Linares,0.021218343600273786,0.0315981940353095,0.0006704613381893187
0,AlonkaLuchina,Madam_Pince,0.0024896265560165973,0.007443625766778705,1.853184838202167e-05
0,AlonkaLuchina,Marina_Plusha,0.005451713395638629,0.023646506595273675,0.00012891397676551068
0,AlonkaLuchina,Motakejika,0.013503909026297086,0.023825275300434656,0.00032173435018355257
0,AlonkaLuchina,Olesonchik,0.011432414256893073,0.018123447871069898,0.0002071947638252779
0,AlonkaLuchina,Pshenichnova,0.0055248618784530384,0.025053779230330253,0.00013841866978083012
0,AlonkaLuchina,RezekJackal,0.0024286581663630845,0.013211471229947924,3.208614749228397e-05
0,AlonkaLuchina,RonaldAmettel,0.024424284717376135,0.04650773486383919,0.0011359181578746488
0,AlonkaLuchina,Rudolf,0.01132342533616419,0.022749796001198752,0.00025760561643254075
0,AlonkaLuchina,Sleepy_Raccoon,0.012491781722550954,0.05144173853326528,0.0006425989691860883
0,AlonkaLuchina,Tinnueleth,0.0015772870662460567,0.0016858301208827475,2.659038045556384e-06
0,AlonkaLuchina,Vellamoya,0.004957507082152974,0.04496348495895386,0.0002229067951222925
0,AlonkaLuchina,ViSapfir,0.006823351023502654,0.03549089654529547,0.00024216684526736864
0,AlonkaLuchina,WissehSubtilize,0.005991611743559017,0.004266190003565984,2.5561354125620034e-05
0,AlonkaLuchina,Yanochka78,0.004490057729313663,0.009992557496511845,4.486716002282419e-05
0,AlonkaLuchina,aliceatseaside,0.02459016393442623,0.020024999446494607,0.0004924180191760969
0,AlonkaLuchina,alinkali,0.010130246020260492,0.04259866291127268,0.0004315349354253383
0,AlonkaLuchina,aposteriori82,0.012940330697340043,0.053722830302964875,0.0006951911901174463
0,AlonkaLuchina,apple_jane,0.009517335146159076,0.01598950383206099,0.0001521774667905193
0,AlonkaLuchina,belenkova1,0.01606425702811245,0.019864897096018463,0.00031911481278744516
0,AlonkaLuchina,blizznets,0.013289036544850499,0.027201450509056313,0.00036148106988779155
0,AlonkaLuchina,eva_lunna,0.02050580997949419,0.058272860479727795,0.0011949322039588749
0,AlonkaLuchina,losselote,0.011636363636363636,0.03502866687561468,0.00040760630546169806
0,AlonkaLuchina,love_my__man,0.020657995409334353,0.054205964884655566,0.0011197865737457538
