",user_left,user_right,read_set_similarity,read_list_distance,read_list_similarity"
"0,-Anastasiia-,IM_EkaterinaLipchenko,0.03333333333333333,0.0061162653263812095,0.00020387551087937364"
"0,-Anastasiia-,Irinat2409,0.07407407407407407,0.020204102886728914,0.0014966002138317714"
"0,-Anastasiia-,Jackjackie_,0.05,0.03847605235917684,0.001923802617958842"
"0,-Anastasiia-,JuliaShine,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,JuliaVoronovich,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,Jullipoint,0.075,0.0011869440384786323,8.902080288589741e-05"
"0,-Anastasiia-,Kalabashka,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,KarinaBurantseva,0.08108108108108109,0.005063323673818121,0.0004105397573366044"
"0,-Anastasiia-,KaterinaMaksimcuk,0.13513513513513514,0.0008319468994225643,0.00011242525667872491"
"0,-Anastasiia-,Katrinchic,0.075,0.009132611386275413,0.000684945853970656"
"0,-Anastasiia-,KimTaTa,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,KirillRozhnov,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,KseniyaMorinova,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,KsenyaPechenya,0.05,0.0013489093468531665,6.744546734265834e-05"
"0,-Anastasiia-,Latte_s_koritsey,0.05,0.0013821706674902456,6.910853337451228e-05"
"0,-Anastasiia-,LenaAngeli,0.05405405405405406,0.0061162653263812095,0.0003306089365611465"
"0,-Anastasiia-,LenaBoo,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,LerVenda,0.1,0.004129405114177587,0.0004129405114177587"
"0,-Anastasiia-,LeraPovorochaeva,0.06818181818181818,0.005063323673818121,0.00034522661412396275"
"0,-Anastasiia-,Lessego12,0.05,0.029857499854668124,0.0014928749927334063"
"0,-Anastasiia-,LidaZhukova,0.05,0.029857499854668124,0.0014928749927334063"
"0,-Anastasiia-,LiliVan,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,Lilu3512,0.075,0.02286016359632248,0.001714512269724186"
"0,-Anastasiia-,LinaReyne,0.0625,0.01550481502915968,0.00096905093932248"
"0,-Anastasiia-,LizaChudnovskaya,0.1,0.0061162653263812095,0.000611626532638121"
"0,-Anastasiia-,LizaChuvasheva,0.03389830508474576,0.010050506338833531,0.00034069513012995024"
"0,-Anastasiia-,LizavetaVolodchenko,0.1,0.004129405114177587,0.0004129405114177587"
"0,-Anastasiia-,LyubashaZagrebina,0.03333333333333333,0.029857499854668124,0.000995249995155604"
"0,-Anastasiia-,MariKa_boo,0.075,0.02286016359632259,0.0017145122697241942"
"0,-Anastasiia-,MariYun,0.05,0.0022148421433909604,0.00011074210716954802"
"0,-Anastasiia-,MarinaRepina962,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,MarishkaCher,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,MariyaGuda,0.125,0.016854363552503138,0.002106795444062892"
"0,-Anastasiia-,Martynova_Marina,0.075,0.00506332367381801,0.0003797492755363507"
"0,-Anastasiia-,MashaLaik,0.125,0.00515024883289017,0.0006437811041112712"
"0,-Anastasiia-,MashaMurza,0.075,0.0029455144984184,0.00022091358738138"
"0,-Anastasiia-,MasterJam,0.08333333333333333,0.004089996689521369,0.00034083305746011405"
"0,-Anastasiia-,McewinSmooths,0.034482758620689655,0.010050506338833531,0.00034656918409770797"
"0,-Anastasiia-,Melamory_S,0.075,0.0063686802471942805,0.000477651018539571"
"0,-Anastasiia-,MelnychukJulia,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,Menshkat,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,MiekSinko,0.075,0.02286016359632248,0.001714512269724186"
"0,-Anastasiia-,MirraKu,0.075,0.02286016359632248,0.001714512269724186"
"0,-Anastasiia-,Musika,0.15,0.0029594619498329866,0.000443919292474948"
"0,-Anastasiia-,NastyaNalpaca,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,NatalyaRepnikova,0.1,0.005865153227565645,0.0005865153227565645"
"0,-Anastasiia-,Natkim,0.05,0.009007569589676745,0.00045037847948383727"
"0,-Anastasiia-,NikitaOdnodvortsev,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,OksanaKazimirova,0.02531645569620253,0.0017256268250041007,4.3686755063394955e-05"
"0,-Anastasiia-,OksanaStepanova987,0.05,0.0022148421433909604,0.00011074210716954802"
"0,-Anastasiia-,Oksi28,0.06666666666666667,0.005063323673818121,0.00033755491158787474"
"0,-Anastasiia-,OlegVishnevskij,0.08108108108108109,0.005865153227565645,0.00047555296439721445"
"0,-Anastasiia-,OlesyaSenkiv,0.075,0.0014760155646608153,0.00011070116734956114"
"0,-Anastasiia-,OlyaBatler,0.08571428571428572,0.005063323673818121,0.0004339991720415532"
"0,-Anastasiia-,OlyaOk,0.05,0.020204102886728914,0.0010102051443364457"
"0,-Anastasiia-,OrlokaHoeg,0.05,0.010050506338833531,0.0005025253169416765"
"0,-Anastasiia-,OxanaRomantschuk,0.075,0.005063323673818121,0.00037974927553635905"
"0,-Anastasiia-,PaniJeziora,0.05,0.0017256268250041007,8.628134125020504e-05"
"0,-Anastasiia-,PetitePrincess,0.075,0.020204102886728914,0.0015153077165046686"
"0,-Anastasiia-,PolinaYakushik,0.075,0.005779412669810857,0.00043345595023581426"
"0,-Anastasiia-,PrintyMantlet,0.075,0.0061162653263812095,0.0004587198994785907"
"0,-Anastasiia-,Rainbowpony,0.05,0.0061162653263812095,0.0003058132663190605"
"0,-Anastasiia-,Remi_121,0.05172413793103448,0.0061162653263812095,0.0003163585513645453"
"0,-Anastasiia-,RiKau,0.05,0.0029455144984184,0.00014727572492092002"
"0,-Anastasiia-,RinaKellyS,0.05172413793103448,0.005063323673818121,0.00026189605209404074"
